id,name,slug,generation,region,type,type2,tier,assigned_move,assigned_move_type,assignment_reason,sfx_file,sfx_bytes,source_move_file
52,Meowth,meowth,1,Kanto,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0052_meowth__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
53,Persian,persian,1,Kanto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0053_persian__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
54,Psyduck,psyduck,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0054_psyduck__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
55,Golduck,golduck,1,Kanto,water,,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0055_golduck__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
56,Mankey,mankey,1,Kanto,fighting,,2,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0056_mankey__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
57,Primeape,primeape,1,Kanto,fighting,,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0057_primeape__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
58,Growlithe,growlithe,1,Kanto,fire,,2,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-1-kanto/0058_growlithe__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
59,Arcanine,arcanine,1,Kanto,fire,,3,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-1-kanto/0059_arcanine__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
60,Poliwag,poliwag,1,Kanto,water,,1,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0060_poliwag__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
61,Poliwhirl,poliwhirl,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0061_poliwhirl__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
62,Poliwrath,poliwrath,1,Kanto,water,fighting,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0062_poliwrath__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
63,Abra,abra,1,Kanto,psychic,,1,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-1-kanto/0063_abra__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
64,Kadabra,kadabra,1,Kanto,psychic,,2,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-1-kanto/0064_kadabra__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
65,Alakazam,alakazam,1,Kanto,psychic,,3,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-1-kanto/0065_alakazam__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
66,Machop,machop,1,Kanto,fighting,,1,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0066_machop__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
67,Machoke,machoke,1,Kanto,fighting,,2,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0067_machoke__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
68,Machamp,machamp,1,Kanto,fighting,,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0068_machamp__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
69,Bellsprout,bellsprout,1,Kanto,grass,poison,1,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0069_bellsprout__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
70,Weepinbell,weepinbell,1,Kanto,grass,poison,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0070_weepinbell__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
71,Victreebel,victreebel,1,Kanto,grass,poison,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0071_victreebel__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
72,Tentacool,tentacool,1,Kanto,water,poison,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0072_tentacool__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
73,Tentacruel,tentacruel,1,Kanto,water,poison,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0073_tentacruel__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
74,Geodude,geodude,1,Kanto,rock,ground,1,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-1-kanto/0074_geodude__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
75,Graveler,graveler,1,Kanto,rock,ground,2,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-1-kanto/0075_graveler__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
76,Golem,golem,1,Kanto,rock,ground,3,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-1-kanto/0076_golem__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
77,Ponyta,ponyta,1,Kanto,fire,,2,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-1-kanto/0077_ponyta__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
78,Rapidash,rapidash,1,Kanto,fire,,3,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-1-kanto/0078_rapidash__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
79,Slowpoke,slowpoke,1,Kanto,water,psychic,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0079_slowpoke__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
80,Slowbro,slowbro,1,Kanto,water,psychic,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0080_slowbro__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
81,Magnemite,magnemite,1,Kanto,electric,steel,2,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-1-kanto/0081_magnemite__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
82,Magneton,magneton,1,Kanto,electric,steel,3,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-1-kanto/0082_magneton__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
83,Farfetch'd,farfetchd,1,Kanto,normal,flying,1,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0083_farfetchd__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
84,Doduo,doduo,1,Kanto,normal,flying,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0084_doduo__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
85,Dodrio,dodrio,1,Kanto,normal,flying,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0085_dodrio__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
86,Seel,seel,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0086_seel__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
87,Dewgong,dewgong,1,Kanto,water,ice,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0087_dewgong__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
88,Grimer,grimer,1,Kanto,poison,,2,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0088_grimer__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
89,Muk,muk,1,Kanto,poison,,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0089_muk__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
90,Shellder,shellder,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0090_shellder__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
91,Cloyster,cloyster,1,Kanto,water,ice,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0091_cloyster__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
92,Gastly,gastly,1,Kanto,ghost,poison,1,Shadow Ball,ghost,type-preferred:ghost,pokemon-sfx-by-species/gen-1-kanto/0092_gastly__shadow-ball.ogg,2793,attack-move-sfx-compressed/ghost/shadow-ball.ogg
93,Haunter,haunter,1,Kanto,ghost,poison,2,Shadow Ball,ghost,type-preferred:ghost,pokemon-sfx-by-species/gen-1-kanto/0093_haunter__shadow-ball.ogg,2793,attack-move-sfx-compressed/ghost/shadow-ball.ogg
94,Gengar,gengar,1,Kanto,ghost,poison,3,Shadow Ball,ghost,signature,pokemon-sfx-by-species/gen-1-kanto/0094_gengar__shadow-ball.ogg,2793,attack-move-sfx-compressed/ghost/shadow-ball.ogg
95,Onix,onix,1,Kanto,rock,ground,1,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-1-kanto/0095_onix__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
96,Drowzee,drowzee,1,Kanto,psychic,,2,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-1-kanto/0096_drowzee__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
97,Hypno,hypno,1,Kanto,psychic,,3,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-1-kanto/0097_hypno__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
98,Krabby,krabby,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0098_krabby__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
99,Kingler,kingler,1,Kanto,water,,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0099_kingler__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
100,Voltorb,voltorb,1,Kanto,electric,,2,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-1-kanto/0100_voltorb__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
101,Electrode,electrode,1,Kanto,electric,,3,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-1-kanto/0101_electrode__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
102,Exeggcute,exeggcute,1,Kanto,grass,psychic,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0102_exeggcute__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
103,Exeggutor,exeggutor,1,Kanto,grass,psychic,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0103_exeggutor__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
104,Cubone,cubone,1,Kanto,ground,,2,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0104_cubone__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
105,Marowak,marowak,1,Kanto,ground,,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0105_marowak__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
106,Hitmonlee,hitmonlee,1,Kanto,fighting,,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0106_hitmonlee__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
107,Hitmonchan,hitmonchan,1,Kanto,fighting,,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-1-kanto/0107_hitmonchan__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
108,Lickitung,lickitung,1,Kanto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0108_lickitung__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
109,Koffing,koffing,1,Kanto,poison,,1,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0109_koffing__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
110,Weezing,weezing,1,Kanto,poison,,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-1-kanto/0110_weezing__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
111,Rhyhorn,rhyhorn,1,Kanto,ground,rock,1,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0111_rhyhorn__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
112,Rhydon,rhydon,1,Kanto,ground,rock,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-1-kanto/0112_rhydon__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
113,Chansey,chansey,1,Kanto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0113_chansey__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
114,Tangela,tangela,1,Kanto,grass,,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-1-kanto/0114_tangela__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
115,Kangaskhan,kangaskhan,1,Kanto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-1-kanto/0115_kangaskhan__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
116,Horsea,horsea,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0116_horsea__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
117,Seadra,seadra,1,Kanto,water,,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0117_seadra__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
118,Goldeen,goldeen,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0118_goldeen__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
119,Seaking,seaking,1,Kanto,water,,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0119_seaking__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
120,Staryu,staryu,1,Kanto,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-1-kanto/0120_staryu__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
