index,move_name,move_slug,inferred_type,source_zip,source_file,source_bytes,compressed_file,compressed_bytes,compressed_duration_seconds
28,All-Out Pummeling,all-out-pummeling,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,All-Out Pummeling.mp3,1116460,attack-move-sfx-compressed/normal/all-out-pummeling.ogg,3223,1.157
29,Ally Switch,ally-switch,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Ally Switch.mp3,231419,attack-move-sfx-compressed/normal/ally-switch.ogg,2852,1.157
30,Amnesia,amnesia,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Amnesia.mp3,208424,attack-move-sfx-compressed/normal/amnesia.ogg,2857,1.157
31,Anchor Shot,anchor-shot,steel,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Anchor Shot.mp3,271125,attack-move-sfx-compressed/steel/anchor-shot.ogg,2781,1.157
32,Ancient Power,ancient-power,rock,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Ancient Power.mp3,234558,attack-move-sfx-compressed/rock/ancient-power.ogg,2773,1.157
33,Aqua Jet,aqua-jet,water,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aqua Jet.mp3,226189,attack-move-sfx-compressed/water/aqua-jet.ogg,2803,1.157
34,Aqua Ring,aqua-ring,water,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aqua Ring.mp3,203203,attack-move-sfx-compressed/water/aqua-ring.ogg,2783,1.157
35,Aqua Tail,aqua-tail,water,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aqua Tail.mp3,215742,attack-move-sfx-compressed/water/aqua-tail.ogg,2693,1.157
36,Arm Thrust 1hit,arm-thrust-1hit,fighting,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Arm Thrust 1hit.mp3,185452,attack-move-sfx-compressed/fighting/arm-thrust-1hit.ogg,2739,1.157
37,Arm Thrust 2hits,arm-thrust-2hits,fighting,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Arm Thrust 2hits.mp3,293078,attack-move-sfx-compressed/fighting/arm-thrust-2hits.ogg,2731,1.157
38,Aromatherapy,aromatherapy,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aromatherapy.mp3,246050,attack-move-sfx-compressed/normal/aromatherapy.ogg,2959,1.157
40,Assurance,assurance,dark,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Assurance.mp3,204248,attack-move-sfx-compressed/dark/assurance.ogg,2848,1.157
41,Astonish,astonish,ghost,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Astonish.mp3,182303,attack-move-sfx-compressed/ghost/astonish.ogg,3041,1.157
42,Attack Order,attack-order,bug,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Attack Order.mp3,251274,attack-move-sfx-compressed/bug/attack-order.ogg,2797,1.157
43,Attract turn damage,attract-turn-damage,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Attract turn damage.mp3,154113,attack-move-sfx-compressed/normal/attract-turn-damage.ogg,3010,1.157
44,Attract,attract,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Attract.mp3,277387,attack-move-sfx-compressed/normal/attract.ogg,3893,1.157
45,Aura Sphere,aura-sphere,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aura Sphere.mp3,250227,attack-move-sfx-compressed/normal/aura-sphere.ogg,2829,1.157
46,Aurora Beam,aurora-beam,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aurora Beam.mp3,239779,attack-move-sfx-compressed/normal/aurora-beam.ogg,2786,1.157
47,Aurora Veil,aurora-veil,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Aurora Veil.mp3,351583,attack-move-sfx-compressed/normal/aurora-veil.ogg,2805,1.157
48,Autotomize,autotomize,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Autotomize.mp3,223058,attack-move-sfx-compressed/normal/autotomize.ogg,2834,1.157
49,Avalanche,avalanche,ice,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Avalanche.mp3,216787,attack-move-sfx-compressed/ice/avalanche.ogg,2760,1.157
50,Baby-Doll Eyes,baby-doll-eyes,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Baby-Doll Eyes.mp3,195899,attack-move-sfx-compressed/normal/baby-doll-eyes.ogg,2973,1.157
51,Baneful Bunker,baneful-bunker,poison,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Baneful Bunker.mp3,239785,attack-move-sfx-compressed/poison/baneful-bunker.ogg,2829,1.157
52,Barrage 1hit,barrage-1hit,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Barrage 1hit.mp3,194850,attack-move-sfx-compressed/normal/barrage-1hit.ogg,2869,1.157
53,Barrage 2hits,barrage-2hits,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Barrage 2hits.mp3,282623,attack-move-sfx-compressed/normal/barrage-2hits.ogg,2849,1.157
54,Barrier,barrier,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Barrier.mp3,195885,attack-move-sfx-compressed/normal/barrier.ogg,2795,1.157
55,Baton Pass,baton-pass,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Baton Pass.mp3,296201,attack-move-sfx-compressed/normal/baton-pass.ogg,2252,1.157
56,Beak Blast part 1,beak-blast-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Beak Blast part 1.mp3,190680,attack-move-sfx-compressed/normal/beak-blast-part-1.ogg,2709,1.157
57,Beak Blast part 2,beak-blast-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Beak Blast part 2.mp3,236656,attack-move-sfx-compressed/normal/beak-blast-part-2.ogg,2688,1.157
58,Beak Blast,beak-blast,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Beak Blast.mp3,330683,attack-move-sfx-compressed/normal/beak-blast.ogg,2716,1.157
59,Beat Up 1hit,beat-up-1hit,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Beat Up 1hit.mp3,176042,attack-move-sfx-compressed/normal/beat-up-1hit.ogg,2623,1.157
60,Beat Up 2hits,beat-up-2hits,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Beat Up 2hits.mp3,242917,attack-move-sfx-compressed/normal/beat-up-2hits.ogg,2616,1.157
61,Belch,belch,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Belch.mp3,197971,attack-move-sfx-compressed/normal/belch.ogg,2793,1.157
62,Belly Drum,belly-drum,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Belly Drum.mp3,205295,attack-move-sfx-compressed/normal/belly-drum.ogg,2756,1.157
63,Bestow,bestow,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bestow.mp3,174985,attack-move-sfx-compressed/normal/bestow.ogg,2871,1.157
64,Bide part 1,bide-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bide part 1.mp3,219925,attack-move-sfx-compressed/normal/bide-part-1.ogg,2805,1.157
65,Bide part 2,bide-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bide part 2.mp3,205297,attack-move-sfx-compressed/normal/bide-part-2.ogg,2792,1.157
66,Bide,bide,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bide.mp3,602344,attack-move-sfx-compressed/normal/bide.ogg,2809,1.157
67,Bind turn damage,bind-turn-damage,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bind turn damage.mp3,185454,attack-move-sfx-compressed/normal/bind-turn-damage.ogg,2752,1.157
68,Bind,bind,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bind.mp3,225136,attack-move-sfx-compressed/normal/bind.ogg,2267,1.157
69,Bite,bite,dark,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bite.mp3,179160,attack-move-sfx-compressed/dark/bite.ogg,2714,1.157
70,Black Hole Eclipse part 1,black-hole-eclipse-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Black Hole Eclipse part 1.mp3,164574,attack-move-sfx-compressed/normal/black-hole-eclipse-part-1.ogg,3216,1.157
71,Black Hole Eclipse part 2,black-hole-eclipse-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Black Hole Eclipse part 2.mp3,421619,attack-move-sfx-compressed/normal/black-hole-eclipse-part-2.ogg,2836,1.157
72,Black Hole Eclipse part 3,black-hole-eclipse-part-3,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Black Hole Eclipse part 3.mp3,649407,attack-move-sfx-compressed/normal/black-hole-eclipse-part-3.ogg,2852,1.157
73,Black Hole Eclipse,black-hole-eclipse,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Black Hole Eclipse.mp3,1040184,attack-move-sfx-compressed/normal/black-hole-eclipse.ogg,3208,1.157
74,Blast Burn,blast-burn,fire,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Blast Burn.mp3,253360,attack-move-sfx-compressed/fire/blast-burn.ogg,2728,1.157
75,Blaze Kick,blaze-kick,fighting,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Blaze Kick.mp3,179172,attack-move-sfx-compressed/fighting/blaze-kick.ogg,2934,1.157
76,Blizzard,blizzard,ice,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Blizzard.mp3,272164,attack-move-sfx-compressed/ice/blizzard.ogg,2811,1.157
77,Block,block,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Block.mp3,201105,attack-move-sfx-compressed/normal/block.ogg,1984,1.157
78,Bloom Doom part 1,bloom-doom-part-1,grass,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bloom Doom part 1.mp3,166648,attack-move-sfx-compressed/grass/bloom-doom-part-1.ogg,3175,1.157
79,Bloom Doom part 2,bloom-doom-part-2,grass,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bloom Doom part 2.mp3,419513,attack-move-sfx-compressed/grass/bloom-doom-part-2.ogg,2722,1.157
80,Bloom Doom part 3,bloom-doom-part-3,grass,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bloom Doom part 3.mp3,683872,attack-move-sfx-compressed/grass/bloom-doom-part-3.ogg,2850,1.157
81,Bloom Doom,bloom-doom,grass,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bloom Doom.mp3,1076740,attack-move-sfx-compressed/grass/bloom-doom.ogg,3171,1.157
82,Blue Flare,blue-flare,fire,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Blue Flare.mp3,297246,attack-move-sfx-compressed/fire/blue-flare.ogg,2791,1.157
83,Body Slam,body-slam,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Body Slam.mp3,204248,attack-move-sfx-compressed/normal/body-slam.ogg,2361,1.157
84,Bolt Strike part 1,bolt-strike-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bolt Strike part 1.mp3,177099,attack-move-sfx-compressed/normal/bolt-strike-part-1.ogg,2795,1.157
85,Bolt Strike part 2,bolt-strike-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bolt Strike part 2.mp3,201131,attack-move-sfx-compressed/normal/bolt-strike-part-2.ogg,2792,1.157
86,Bolt Strike part 3,bolt-strike-part-3,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bolt Strike part 3.mp3,190682,attack-move-sfx-compressed/normal/bolt-strike-part-3.ogg,2796,1.157
87,Bolt Strike,bolt-strike,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bolt Strike.mp3,374570,attack-move-sfx-compressed/normal/bolt-strike.ogg,2801,1.157
88,Bone Club,bone-club,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bone Club.mp3,183350,attack-move-sfx-compressed/normal/bone-club.ogg,2526,1.157
89,Bone Rush 1hit,bone-rush-1hit,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bone Rush 1hit.mp3,157238,attack-move-sfx-compressed/normal/bone-rush-1hit.ogg,2787,1.157
90,Bone Rush 2hits,bone-rush-2hits,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bone Rush 2hits.mp3,313974,attack-move-sfx-compressed/normal/bone-rush-2hits.ogg,2782,1.157
91,Bonemerang 1hit,bonemerang-1hit,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bonemerang 1hit.mp3,173958,attack-move-sfx-compressed/normal/bonemerang-1hit.ogg,2939,1.157
92,Bonemerang 2hits,bonemerang-2hits,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bonemerang 2hits.mp3,294123,attack-move-sfx-compressed/normal/bonemerang-2hits.ogg,2924,1.157
93,Boomburst,boomburst,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Boomburst.mp3,252313,attack-move-sfx-compressed/normal/boomburst.ogg,2753,1.157
94,Bounce part 1,bounce-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bounce part 1.mp3,235603,attack-move-sfx-compressed/normal/bounce-part-1.ogg,2830,1.157
95,Bounce part 2,bounce-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bounce part 2.mp3,227244,attack-move-sfx-compressed/normal/bounce-part-2.ogg,3004,1.157
96,Bounce,bounce,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bounce.mp3,365156,attack-move-sfx-compressed/normal/bounce.ogg,2829,1.157
97,Brave Bird part 1,brave-bird-part-1,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Brave Bird part 1.mp3,133211,attack-move-sfx-compressed/flying/brave-bird-part-1.ogg,1984,0.798
98,Brave Bird part 2,brave-bird-part-2,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Brave Bird part 2.mp3,321293,attack-move-sfx-compressed/flying/brave-bird-part-2.ogg,2880,1.157
99,Brave Bird,brave-bird,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Brave Bird.mp3,356805,attack-move-sfx-compressed/flying/brave-bird.ogg,2846,1.157
100,Breakneck Blitz part 1,breakneck-blitz-part-1,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Breakneck Blitz part 1.mp3,160389,attack-move-sfx-compressed/normal/breakneck-blitz-part-1.ogg,3147,1.157
101,Breakneck Blitz part 2,breakneck-blitz-part-2,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Breakneck Blitz part 2.mp3,424748,attack-move-sfx-compressed/normal/breakneck-blitz-part-2.ogg,2740,1.157
102,Breakneck Blitz part 3,breakneck-blitz-part-3,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Breakneck Blitz part 3.mp3,646267,attack-move-sfx-compressed/normal/breakneck-blitz-part-3.ogg,2881,1.157
103,Breakneck Blitz,breakneck-blitz,normal,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Breakneck Blitz.mp3,1037045,attack-move-sfx-compressed/normal/breakneck-blitz.ogg,3140,1.157
104,Brick Break,brick-break,fighting,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Brick Break.mp3,164547,attack-move-sfx-compressed/fighting/brick-break.ogg,2580,1.157
105,Brine,brine,water,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Brine.mp3,187523,attack-move-sfx-compressed/water/brine.ogg,2780,1.157
106,Brutal Swing,brutal-swing,flying,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Brutal Swing.mp3,188582,attack-move-sfx-compressed/flying/brutal-swing.ogg,2792,1.157
107,Bubble Beam,bubble-beam,water,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bubble Beam.mp3,289935,attack-move-sfx-compressed/water/bubble-beam.ogg,2966,1.157
108,Bubble,bubble,water,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bubble.mp3,209467,attack-move-sfx-compressed/water/bubble.ogg,2852,1.157
109,Bug Bite,bug-bite,dark,/home/baguspermana7/Downloads/3DS - Pokemon Sun _ Moon - Miscellaneous - Attack Move Sound Effects.zip,Bug Bite.mp3,169765,attack-move-sfx-compressed/dark/bug-bite.ogg,2708,1.157
